Date,Submitted,Verified,Primary_t,Realtime_t,Category
2022-04-08,2022-04-08T07:28:46Z,verified,2038,2038,Any%
2022-04-08,2022-04-08T17:24:51Z,verified,1610,1610,Any%
2022-04-08,2022-04-08T20:39:43Z,verified,1662,1662,Any%
2022-04-09,2022-04-09T17:09:51Z,verified,2452,2452,Any%
2022-04-09,2022-04-09T18:50:18Z,verified,1717,1717,Any%
2022-04-09,2022-04-10T02:46:51Z,verified,2181,2181,Any%
2022-04-10,2022-04-10T03:35:02Z,verified,2225,2225,Any%
2022-04-10,2022-04-10T09:43:25Z,verified,1625,1625,Any%
2022-04-10,2022-04-10T10:06:32Z,verified,1998,1998,Any%
2022-04-10,2022-04-10T10:41:33Z,verified,1637,1637,Any%
2022-04-10,2022-04-10T21:45:48Z,verified,1986,1986,Any%
2022-04-11,2022-04-11T13:37:13Z,verified,1955,1955,Any%
2022-04-12,2022-04-12T16:58:39Z,verified,1702,1702,Any%
2022-04-13,2022-04-13T00:10:40Z,verified,1608,1608,Any%
2022-04-13,2022-04-13T10:01:20Z,verified,1664,1664,Any%
2022-04-13,2022-04-13T15:27:41Z,verified,1676,1676,Any%
2022-04-13,2022-04-13T15:35:00Z,verified,1573,1573,Any%
2022-04-13,2022-04-13T18:29:17Z,verified,2030,2030,Any%
2022-04-13,2022-04-13T21:04:07Z,verified,1757,1757,Any%
2022-04-13,2022-04-13T21:58:49Z,verified,1594,1594,Any%
2022-04-13,2022-04-14T02:07:58Z,verified,1869,1869,Any%
2022-04-14,2022-04-14T10:59:30Z,verified,1938,1938,Any%
2022-04-14,2022-04-14T13:38:41Z,verified,1563,1563,Any%
2022-04-14,2022-04-15T03:45:55Z,verified,1788,1788,Any%
2022-04-15,2022-04-15T08:39:16Z,verified,1595,1595,Any%
2022-04-15,2022-04-16T06:27:29Z,verified,2078,2078,Any%
2022-04-16,2022-04-16T13:45:43Z,verified,1812,1812,Any%
2022-04-16,2022-04-16T19:31:31Z,verified,1773,1773,Any%
2022-04-16,2022-04-16T21:54:30Z,verified,2302,2302,Any%
2022-04-16,2022-04-16T23:18:12Z,verified,1788,1788,Any%
2022-04-16,2022-04-17T01:46:23Z,verified,2295,2295,Any%
2022-04-17,2022-04-17T12:10:49Z,verified,1670,1670,Any%
2022-04-18,2022-04-18T10:07:58Z,verified,1595,1595,Any%
2022-04-18,2022-04-18T12:00:40Z,verified,1854,1854,Any%
2022-04-19,2022-04-18T17:07:10Z,verified,1610,1610,Any%
2022-04-19,2022-04-18T22:32:02Z,verified,1576,1576,Any%
2022-04-19,2022-04-19T05:01:14Z,verified,1642,1642,Any%
2022-04-19,2022-04-19T13:51:12Z,verified,1761,1761,Any%
2022-04-19,2022-04-19T17:53:26Z,verified,1562,1562,Any%
2022-04-19,2022-04-19T18:57:30Z,verified,1746,1746,Any%
2022-04-19,2022-04-19T19:34:48Z,verified,1548,1548,Any%
2022-04-19,2022-04-20T04:16:58Z,verified,1587,1587,Any%
2022-04-20,2022-04-21T00:40:56Z,verified,2292,2292,Any%
2022-04-22,2022-04-22T00:04:14Z,verified,1664,1664,Any%
2022-04-22,2022-04-22T12:58:07Z,verified,1678,1678,Any%
2022-04-22,2022-04-22T22:18:45Z,verified,2091,2091,Any%
2022-04-22,2022-04-23T02:08:31Z,verified,1984,1984,Any%
2022-04-23,2022-04-22T23:52:55Z,verified,1901,1901,Any%
2022-04-23,2022-04-23T12:20:58Z,verified,1587,1587,Any%
2022-04-23,2022-04-23T19:57:19Z,verified,2345,2345,Any%
2022-04-24,2022-04-24T09:53:09Z,verified,1579,1579,Any%
2022-04-24,2022-04-24T15:19:00Z,verified,1548,1548,Any%
2022-04-24,2022-04-25T00:49:30Z,verified,2169,2169,Any%
2022-04-24,2022-04-25T05:18:56Z,verified,1798,1798,Any%
2022-04-25,2022-04-24T23:28:01Z,verified,1680,1680,Any%
2022-04-25,2022-04-25T10:19:29Z,verified,1570,1570,Any%
2022-04-25,2022-04-26T01:15:43Z,verified,2148,2148,Any%
2022-04-26,2022-04-26T11:51:48Z,verified,1889,1889,Any%
2022-04-27,2022-04-26T19:48:38Z,verified,2261,2261,Any%
2022-04-28,2022-04-28T13:48:12Z,verified,1619,1619,Any%
2022-04-28,2022-04-29T01:00:38Z,verified,2076,2076,Any%
2022-04-29,2022-04-30T01:26:36Z,verified,2044,2044,Any%
2022-04-29,2022-04-30T02:23:19Z,verified,2039,2039,Any%
2022-04-30,2022-04-30T11:06:30Z,verified,1753,1753,Any%
2022-04-30,2022-04-30T20:56:19Z,verified,1794,1794,Any%
2022-04-30,2022-05-02T00:17:43Z,verified,1549,1549,Any%
2022-05-01,2022-05-01T11:07:34Z,verified,1578,1578,Any%
2022-05-01,2022-05-01T16:09:26Z,verified,1819,1819,Any%
2022-05-01,2022-05-02T02:25:34Z,verified,2033,2033,Any%
2022-05-02,2022-05-02T15:47:34Z,verified,1556,1556,Any%
2022-05-02,2022-05-02T19:46:55Z,verified,1761,1761,Any%
2022-05-02,2022-05-03T00:39:38Z,verified,2016,2016,Any%
2022-05-03,2022-05-03T10:11:54Z,verified,1786,1786,Any%
2022-05-03,2022-05-04T02:22:11Z,verified,1546,1546,Any%
2022-05-04,2022-05-03T15:35:37Z,verified,1585,1585,Any%
2022-05-04,2022-05-04T17:04:24Z,verified,1579,1579,Any%
2022-05-05,2022-05-05T07:08:56Z,verified,1537,1537,Any%
2022-05-05,2022-05-05T12:40:28Z,verified,1709,1709,Any%
2022-05-05,2022-05-06T01:18:40Z,verified,2005,2005,Any%
2022-05-06,2022-05-07T01:17:15Z,verified,1959,1959,Any%
2022-05-07,2022-05-07T10:12:32Z,verified,1551,1551,Any%
2022-05-07,2022-05-07T18:22:18Z,verified,1652,1652,Any%
2022-05-09,2022-05-08T20:23:32Z,verified,1541,1541,Any%
2022-05-09,2022-05-09T00:46:02Z,verified,1880,1880,Any%
2022-05-09,2022-05-09T20:19:57Z,verified,1649,1649,Any%
2022-05-10,2022-05-09T22:54:41Z,verified,1563,1563,Any%
2022-05-10,2022-05-10T08:54:28Z,verified,1538,1538,Any%
2022-05-10,2022-05-10T17:42:10Z,verified,1630,1630,Any%
2022-05-10,2022-05-11T00:53:45Z,verified,1882,1882,Any%
2022-05-11,2022-05-12T02:58:27Z,verified,1668,1668,Any%
2022-05-11,2022-05-12T03:17:04Z,verified,1527,1527,Any%
2022-05-12,2022-05-12T00:06:33Z,verified,1568,1568,Any%
2022-05-12,2022-05-12T19:03:26Z,verified,1591,1591,Any%
2022-05-13,2022-05-13T03:21:11Z,verified,1734,1734,Any%
2022-05-14,2022-05-14T06:39:19Z,verified,1544,1544,Any%
2022-05-14,2022-05-14T17:39:00Z,verified,1572,1572,Any%
