Date,Submitted,Verified,Primary_t,Realtime_t
2023-08-29,2023-08-31T09:02:27Z,verified,3334,3334
2023-08-27,2023-10-28T16:02:43Z,verified,10146,10146
2023-08-26,2023-08-26T23:28:30Z,verified,3888,3888
2023-08-26,2023-08-27T22:40:25Z,verified,29371,29371
2023-08-25,2023-08-25T07:46:26Z,verified,2328,2328
2023-08-22,2023-08-22T07:40:44Z,verified,2477,2477
2023-08-21,2023-08-21T20:22:31Z,verified,35334,35334
2023-08-20,2023-08-23T22:11:45Z,verified,3370,3370
2023-08-17,2023-08-17T16:45:58Z,verified,8122,8122
2023-08-17,2023-08-18T03:57:48Z,verified,4660,4660
2023-08-15,2023-08-17T08:17:31Z,verified,6942,6942
2023-08-15,2023-08-15T09:14:39Z,verified,4935,4935
2023-08-12,2023-08-15T17:12:39Z,verified,4455,4455
2023-08-12,2023-08-12T12:42:41Z,verified,1205,1205
2023-08-10,2023-08-19T00:56:13Z,verified,4143,4143
2023-08-09,2023-08-09T11:51:58Z,verified,1452,1452
2023-08-09,2023-08-09T11:19:47Z,verified,1227,1227
2023-08-08,2023-08-08T06:26:55Z,verified,3464,3464
2023-08-07,2023-08-09T08:21:07Z,verified,6974,6974
2023-08-06,2023-08-06T08:13:28Z,verified,5286,5286
2023-08-04,2023-08-04T16:37:36Z,verified,3663,3663
2023-08-04,2023-08-04T11:24:59Z,verified,3903,3903
2023-08-03,2023-08-03T18:33:45Z,verified,5798,5798
2023-08-03,2023-08-05T13:29:51Z,verified,4179,4179
2023-08-03,2023-08-03T15:53:57Z,verified,7092,7092
2023-08-03,2023-08-03T05:45:37Z,verified,7033,7033
2023-08-02,2023-08-02T22:55:03Z,verified,4027,4027
2023-08-02,2023-08-02T10:59:00Z,verified,4340,4340
2023-08-02,2023-08-02T10:22:12Z,verified,3486,3486
2023-08-02,2023-08-02T04:53:12Z,verified,9375,9375
2023-08-01,2023-08-01T19:39:22Z,verified,1539,1539
2023-07-25,2023-07-25T16:57:14Z,verified,5333,5333
2023-07-24,2023-07-24T12:25:08Z,verified,1596,1596
2023-07-23,2023-07-23T08:47:55Z,verified,3539,3539
2023-07-22,2023-07-22T19:28:55Z,verified,4211,4211
2023-07-19,2023-07-21T10:41:47Z,verified,3342,3342
2023-07-16,2023-07-16T03:40:08Z,verified,6054,6054
2023-07-16,2023-07-16T18:46:09Z,verified,4419,4419
2023-07-11,2023-07-10T23:09:35Z,verified,4546,4546
2023-07-10,2023-07-13T05:32:52Z,verified,7422,7422
2023-07-10,2023-07-10T12:08:12Z,verified,4660,4660
2023-07-09,2023-07-10T05:38:18Z,verified,5775,5775
2023-07-07,2023-07-07T13:16:26Z,verified,10716,10716
2023-07-04,2023-07-03T22:51:48Z,verified,4705,4705
2023-07-02,2023-07-03T09:04:57Z,verified,3348,3348
2023-06-30,2023-06-29T18:51:21Z,verified,1734,1734
